"Pincode","Delhivery","Delhivery Limitation","Fedex","Fedex Limitation","Dotzot","Dotzot Limitation","DTDC","Indiapost","Pref 1","Pref 2","Pref 3","Pref 4","Pref 5"
"110075","Y","19999","Y","4999999","Y","24999","Y","Y","Delhivery","DTDC","Fedex","Dotzot","Indiapost"
"360001","Y","19999","Y","4999999","Y","24999","Y","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"360002","Y","19999","Y","4999999","Y","24999","Y","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"360003","Y","19999","Y","4999999","Y","24999","Y","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"360007","Y","19999","Y","4999999","Y","24999","N","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"141007","Y","19999","N","N","Y","24999","Y","Y","Delhivery","Fedex","DTDC","Dotzot","Indiapost"
"141008","Y","19999","N","N","Y","24999","Y","Y","Delhivery","Fedex","DTDC","Dotzot","Indiapost"
"141010","Y","19999","N","N","Y","24999","Y","Y","Delhivery","Fedex","DTDC","Dotzot","Indiapost"
"141014","Y","19999","N","N","Y","24999","Y","Y","Delhivery","Fedex","DTDC","Dotzot","Indiapost"
"141005","Y","19999","N","N","N","N","Y","Y","Delhivery","Fedex","DTDC","Dotzot","Indiapost"
"141009","Y","19999","N","N","N","N","Y","Y","Delhivery","Fedex","DTDC","Dotzot","Indiapost"
"141011","Y","19999","N","N","Y","24999","Y","Y","Delhivery","Fedex","DTDC","Dotzot","Indiapost"
"141017","Y","19999","N","N","N","N","N","Y","Delhivery","Fedex","DTDC","Dotzot","Indiapost"
"144001","Y","19999","N","N","Y","24999","Y","Y","Delhivery","Fedex","DTDC","Dotzot","Indiapost"
"144002","Y","19999","N","N","Y","24999","Y","Y","Delhivery","Fedex","DTDC","Dotzot","Indiapost"
"144003","Y","19999","N","N","Y","24999","Y","Y","Delhivery","Fedex","DTDC","Dotzot","Indiapost"
"144007","Y","19999","N","N","Y","24999","Y","Y","Delhivery","Fedex","DTDC","Dotzot","Indiapost"
"144008","Y","19999","N","N","Y","24999","Y","Y","Delhivery","Fedex","DTDC","Dotzot","Indiapost"
"144009","Y","19999","N","N","N","N","N","Y","Delhivery","Fedex","DTDC","Dotzot","Indiapost"
"144010","Y","19999","N","N","N","N","N","Y","Delhivery","Fedex","DTDC","Dotzot","Indiapost"
"144014","Y","19999","N","N","N","N","N","Y","Delhivery","Fedex","DTDC","Dotzot","Indiapost"
"144022","Y","19999","N","N","Y","24999","Y","Y","Delhivery","Fedex","DTDC","Dotzot","Indiapost"
"144027","Y","19999","N","N","N","N","N","Y","Delhivery","Fedex","DTDC","Dotzot","Indiapost"
"144021","Y","19999","N","N","Y","24999","Y","Y","Delhivery","Fedex","DTDC","Dotzot","Indiapost"
"144023","Y","19999","N","N","N","N","N","Y","Delhivery","Fedex","DTDC","Dotzot","Indiapost"
"143021","Y","19999","N","N","N","N","N","Y","Delhivery","Fedex","DTDC","Dotzot","Indiapost"
"143036","Y","19999","N","N","N","N","N","Y","Delhivery","Fedex","DTDC","Dotzot","Indiapost"
"143001","Y","19999","N","N","Y","24999","Y","Y","Delhivery","Fedex","DTDC","Dotzot","Indiapost"
"143002","Y","19999","N","N","Y","24999","Y","Y","Delhivery","Fedex","DTDC","Dotzot","Indiapost"
"143003","Y","19999","N","N","Y","24999","Y","Y","Delhivery","Fedex","DTDC","Dotzot","Indiapost"
"143004","Y","19999","N","N","Y","24999","Y","Y","Delhivery","Fedex","DTDC","Dotzot","Indiapost"
"143005","Y","19999","N","N","Y","24999","Y","Y","Delhivery","Fedex","DTDC","Dotzot","Indiapost"
"143006","Y","19999","N","N","Y","24999","Y","Y","Delhivery","Fedex","DTDC","Dotzot","Indiapost"
"143008","Y","19999","N","N","N","N","N","Y","Delhivery","Fedex","DTDC","Dotzot","Indiapost"
"143009","Y","19999","N","N","N","N","N","Y","Delhivery","Fedex","DTDC","Dotzot","Indiapost"
"143010","Y","19999","N","N","N","N","N","Y","Delhivery","Fedex","DTDC","Dotzot","Indiapost"
