141011,Dotzot,24999,4
141011,DTDC,0,3
141011,Indiapost,0,5
141017,Delhivery,19999,1
141017,Indiapost,0,5
144001,Delhivery,19999,1
144001,Dotzot,24999,4
144001,DTDC,0,3
144001,Indiapost,0,5
144002,Delhivery,19999,1
144002,Dotzot,24999,4
144002,DTDC,0,3
144002,Indiapost,0,5
144003,Delhivery,19999,1
144003,Dotzot,24999,4
144003,DTDC,0,3
144003,Indiapost,0,5
144007,Delhivery,19999,1
144007,Dotzot,24999,4
144007,DTDC,0,3
144007,Indiapost,0,5
144008,Delhivery,19999,1
144008,Dotzot,24999,4
144008,DTDC,0,3
144008,Indiapost,0,5
144009,Delhivery,19999,1
144009,Indiapost,0,5
144010,Delhivery,19999,1
144010,Indiapost,0,5
144014,Delhivery,19999,1
144014,Indiapost,0,5
144022,Delhivery,19999,1
144022,Dotzot,24999,4
144022,DTDC,0,3
144022,Indiapost,0,5
144027,Delhivery,19999,1
144027,Indiapost,0,5
144021,Delhivery,19999,1
